 ,Area,Mean,Min,Max
1,443,255,255,255
2,290,255,255,255
3,361,255,255,255
4,466,255,255,255
5,306,255,255,255
6,273,255,255,255
7,296,255,255,255
8,273,255,255,255
9,330,255,255,255
10,293,255,255,255
11,343,255,255,255
12,259,255,255,255
13,292,255,255,255
14,287,255,255,255
15,349,255,255,255
16,390,255,255,255
17,340,255,255,255
18,320,255,255,255
19,343,255,255,255
20,298,255,255,255
21,363,255,255,255
22,267,255,255,255
23,376,255,255,255
24,488,255,255,255
25,355,255,255,255
26,433,255,255,255
27,303,255,255,255
28,347,255,255,255
29,352,255,255,255
30,487,255,255,255
31,295,255,255,255
32,294,255,255,255
33,333,255,255,255
34,259,255,255,255
35,278,255,255,255
36,308,255,255,255
37,347,255,255,255
38,356,255,255,255
39,351,255,255,255
40,341,255,255,255
41,221,255,255,255
42,299,255,255,255
43,461,255,255,255
44,494,255,255,255
45,354,255,255,255
46,291,255,255,255
47,356,255,255,255
48,409,255,255,255
49,296,255,255,255
50,275,255,255,255
51,354,255,255,255
52,375,255,255,255
53,356,255,255,255
54,421,255,255,255
55,399,255,255,255
56,454,255,255,255
57,335,255,255,255
58,321,255,255,255
59,403,255,255,255
60,236,255,255,255
61,342,255,255,255
62,325,255,255,255
63,385,255,255,255
64,307,255,255,255
65,288,255,255,255
66,346,255,255,255
67,477,255,255,255
68,357,255,255,255
69,284,255,255,255
70,241,255,255,255
71,436,255,255,255
72,340,255,255,255
73,314,255,255,255
74,334,255,255,255
75,356,255,255,255
76,302,255,255,255
77,425,255,255,255
78,259,255,255,255
79,372,255,255,255
80,421,255,255,255
81,472,255,255,255
82,256,255,255,255
83,204,255,255,255
84,377,255,255,255
85,277,255,255,255
86,337,255,255,255
87,241,255,255,255
88,316,255,255,255
89,316,255,255,255
90,472,255,255,255
91,354,255,255,255
92,389,255,255,255
93,191,255,255,255
94,375,255,255,255
95,334,255,255,255
96,280,255,255,255
97,437,255,255,255
98,358,255,255,255
99,391,255,255,255
100,273,255,255,255
101,318,255,255,255
102,462,255,255,255
103,400,255,255,255
104,409,255,255,255
105,381,255,255,255
106,360,255,255,255
107,244,255,255,255
108,387,255,255,255
109,318,255,255,255
110,410,255,255,255
111,357,255,255,255
112,237,255,255,255
113,253,255,255,255
114,260,255,255,255
115,403,255,255,255
116,337,255,255,255
117,376,255,255,255
118,268,255,255,255
119,429,255,255,255
120,329,255,255,255
121,365,255,255,255
122,460,255,255,255
123,240,255,255,255
124,476,255,255,255
125,353,255,255,255
126,259,255,255,255
127,392,255,255,255
128,347,255,255,255
129,348,255,255,255
130,280,255,255,255
131,321,255,255,255
132,181,255,255,255
133,428,255,255,255
134,159,255,255,255
135,220,255,255,255
136,259,255,255,255
137,277,255,255,255
138,378,255,255,255
139,278,255,255,255
140,387,255,255,255
141,276,255,255,255
142,336,255,255,255
143,263,255,255,255
144,274,255,255,255
145,449,255,255,255
146,386,255,255,255
147,429,255,255,255
148,438,255,255,255
149,478,255,255,255
150,319,255,255,255
151,386,255,255,255
152,408,255,255,255
153,321,255,255,255
154,222,255,255,255
155,323,255,255,255
156,299,255,255,255
157,423,255,255,255
158,406,255,255,255
159,278,255,255,255
160,320,255,255,255
161,400,255,255,255
162,491,255,255,255
163,281,255,255,255
164,315,255,255,255
165,370,255,255,255
166,386,255,255,255
167,390,255,255,255
168,404,255,255,255
169,331,255,255,255
170,369,255,255,255
171,271,255,255,255
172,339,255,255,255
173,249,255,255,255
174,376,255,255,255
175,368,255,255,255
176,325,255,255,255
177,259,255,255,255
178,387,255,255,255
179,213,255,255,255
180,319,255,255,255
181,371,255,255,255
182,355,255,255,255
183,409,255,255,255
184,384,255,255,255
185,381,255,255,255
186,422,255,255,255
187,484,255,255,255
188,367,255,255,255
189,356,255,255,255
190,443,255,255,255
191,226,255,255,255
192,398,255,255,255
193,375,255,255,255
194,264,255,255,255
195,307,255,255,255
196,466,255,255,255
197,419,255,255,255
198,361,255,255,255
199,361,255,255,255
200,254,255,255,255
201,288,255,255,255
202,344,255,255,255
203,234,255,255,255
204,330,255,255,255
205,346,255,255,255
206,320,255,255,255
207,485,255,255,255
208,241,255,255,255
209,383,255,255,255
210,334,255,255,255
211,446,255,255,255
212,252,255,255,255
213,375,255,255,255
214,410,255,255,255
215,349,255,255,255
216,322,255,255,255
217,395,255,255,255
218,364,255,255,255
219,295,255,255,255
220,347,255,255,255
221,241,255,255,255
222,265,255,255,255
223,296,255,255,255
224,324,255,255,255
225,437,255,255,255
226,263,255,255,255
227,253,255,255,255
228,338,255,255,255
229,242,255,255,255
230,428,255,255,255
231,240,255,255,255
232,480,255,255,255
233,418,255,255,255
234,211,255,255,255
235,279,255,255,255
236,248,255,255,255
237,287,255,255,255
238,360,255,255,255
239,345,255,255,255
240,388,255,255,255
241,343,255,255,255
242,260,255,255,255
243,272,255,255,255
244,372,255,255,255
245,369,255,255,255
246,393,255,255,255
247,283,255,255,255
248,443,255,255,255
249,242,255,255,255
250,440,255,255,255
251,234,255,255,255
252,380,255,255,255
253,332,255,255,255
254,222,255,255,255
255,441,255,255,255
256,319,255,255,255
257,354,255,255,255
258,281,255,255,255
259,219,255,255,255
260,237,255,255,255
261,245,255,255,255
262,254,255,255,255
263,257,255,255,255
264,253,255,255,255
265,385,255,255,255
266,250,255,255,255
267,269,255,255,255
268,246,255,255,255
269,387,255,255,255
270,270,255,255,255
271,350,255,255,255
272,231,255,255,255
273,428,255,255,255
274,227,255,255,255
275,275,255,255,255
276,481,255,255,255
277,345,255,255,255
278,236,255,255,255
279,470,255,255,255
280,253,255,255,255
281,263,255,255,255
282,281,255,255,255
283,298,255,255,255
284,391,255,255,255
285,329,255,255,255
286,397,255,255,255
287,341,255,255,255
288,225,255,255,255
289,223,255,255,255
290,327,255,255,255
291,282,255,255,255
292,381,255,255,255
293,337,255,255,255
294,233,255,255,255
295,326,255,255,255
296,300,255,255,255
297,298,255,255,255
298,272,255,255,255
299,253,255,255,255
300,356,255,255,255
301,226,255,255,255
302,311,255,255,255
303,327,255,255,255
304,344,255,255,255
305,315,255,255,255
306,440,255,255,255
307,307,255,255,255
308,306,255,255,255
309,319,255,255,255
310,151,255,255,255
311,246,255,255,255
312,248,255,255,255
313,398,255,255,255
314,492,255,255,255
315,279,255,255,255
316,311,255,255,255
317,296,255,255,255
318,263,255,255,255
319,162,255,255,255
320,308,255,255,255
321,359,255,255,255
322,259,255,255,255
323,480,255,255,255
324,310,255,255,255
325,279,255,255,255
326,362,255,255,255
327,458,255,255,255
328,353,255,255,255
329,279,255,255,255
330,318,255,255,255
331,308,255,255,255
332,299,255,255,255
333,314,255,255,255
334,297,255,255,255
335,286,255,255,255
336,292,255,255,255
337,295,255,255,255
338,275,255,255,255
339,369,255,255,255
340,365,255,255,255
341,393,255,255,255
342,264,255,255,255
343,357,255,255,255
344,321,255,255,255
345,295,255,255,255
346,455,255,255,255
347,273,255,255,255
348,294,255,255,255
349,297,255,255,255
350,292,255,255,255
351,270,255,255,255
352,323,255,255,255
353,309,255,255,255
354,256,255,255,255
355,283,255,255,255
356,295,255,255,255
357,403,255,255,255
358,323,255,255,255
359,265,255,255,255
360,320,255,255,255
361,318,255,255,255
362,203,255,255,255
363,289,255,255,255
364,298,255,255,255
365,361,255,255,255
366,309,255,255,255
367,292,255,255,255
368,416,255,255,255
369,435,255,255,255
370,282,255,255,255
371,460,255,255,255
372,309,255,255,255
373,205,255,255,255
374,298,255,255,255
375,299,255,255,255
376,280,255,255,255
377,279,255,255,255
378,281,255,255,255
379,260,255,255,255
380,274,255,255,255
381,244,255,255,255
382,317,255,255,255
383,355,255,255,255
384,303,255,255,255
385,288,255,255,255
386,327,255,255,255
387,386,255,255,255
388,285,255,255,255
389,389,255,255,255
390,362,255,255,255
391,475,255,255,255
392,293,255,255,255
393,290,255,255,255
394,340,255,255,255
395,278,255,255,255
396,304,255,255,255
397,358,255,255,255
398,334,255,255,255
